,Data,AMAZONAS_ear,CAPIVARI_ear,DOCE_ear,GRANDE_ear,IGUACU_ear,JACUI_ear,JEQUITINHONHA_ear,PARAGUACU_ear,PARAGUAI_ear,PARAIBA_ear,PARANA_ear,PARANAIBA_ear,PARANAPANEMA_ear,PARNAIBA_ear,SFRANCISCO_ear,TIETE_ear,TOCANTINS_ear,URUGUAI_ear
180,2020-06-29,753.0089721679688,132.85400390625,13.178000450134276,31158.021484375,4239.9599609375,1083.1490478515625,2321.72705078125,544.8410034179688,335.1180114746094,3899.49609375,2333.0400390625,42229.9296875,4098.84716796875,245.9960021972656,46620.265625,6937.30908203125,24558.810546875,1762.9560546875
181,2020-06-30,751.6900024414062,133.97999572753906,13.265000343322754,31011.3671875,4304.7958984375,1158.31005859375,2319.85205078125,543.2100219726562,333.8070068359375,3886.281982421875,2355.569091796875,42074.50390625,4190.31494140625,244.22799682617188,46531.24609375,6956.64208984375,24566.61328125,1802.2850341796875
182,2020-07-01,748.9580078125,135.63299560546875,13.222000122070312,30807.607421875,4377.44482421875,1245.9510498046875,2317.97802734375,541.5430297851562,332.38299560546875,3871.4208984375,2378.470947265625,41918.1171875,4270.4072265625,243.1909942626953,46395.0078125,6955.4951171875,24560.375,1916.9439697265625
183,2020-07-02,745.301025390625,136.79800415039062,13.222000122070312,30597.794921875,4453.93701171875,1298.3480224609375,2309.547119140625,538.8140258789062,331.072998046875,3858.431884765625,2401.376953125,41657.08984375,4355.64892578125,241.45399475097656,46289.734375,6977.05322265625,24541.7421875,2012.3740234375
184,2020-07-03,741.9010009765625,137.09800720214844,13.222000122070312,30437.107421875,4530.51708984375,1323.654052734375,2302.053955078125,536.6519775390625,329.5929870605469,3843.304931640625,2424.285888671875,41479.09765625,4430.72412109375,239.24200439453125,46172.1484375,7000.4501953125,24549.546875,2083.631103515625
185,2020-07-04,740.4359741210938,137.77499389648438,13.234000205993652,30451.328125,4606.9072265625,1349.657958984375,2300.180908203125,535.5540161132812,328.1700134277344,3828.501953125,2462.35205078125,41436.69921875,4478.39892578125,239.24200439453125,46057.91015625,7026.40185546875,24549.193359375,2139.862060546875
186,2020-07-05,741.6649780273438,138.41299438476562,13.24899959564209,30373.6640625,4675.8291015625,1384.7110595703125,2298.30908203125,534.4920043945312,326.8039855957031,3814.068115234375,2477.876953125,41466.4453125,4515.74609375,238.65499877929688,45942.16015625,7059.69189453125,24572.607421875,2186.779052734375
187,2020-07-06,739.3380126953125,138.26300048828125,13.277000427246094,30079.326171875,4702.880859375,1442.447021484375,2293.6279296875,530.6680297851562,325.3819885253906,3798.824951171875,2500.797119140625,41227.8984375,4538.90576171875,236.4739990234375,45809.203125,7056.4501953125,24564.78125,2257.114013671875
188,2020-07-07,734.97900390625,138.41299438476562,13.24899959564209,29973.28125,4728.97509765625,1546.970947265625,2287.386962890625,527.4130249023438,324.07501220703125,3782.9990234375,2500.797119140625,41044.69140625,4557.833984375,234.2669982910156,45655.6640625,7071.6201171875,24563.3671875,2481.574951171875
189,2020-07-08,729.7579956054688,138.26300048828125,13.234000205993652,29775.08984375,4750.85888671875,1724.823974609375,2279.90087890625,523.0989990234375,322.4830017089844,3767.221923828125,2538.882080078125,40869.14453125,4569.880859375,232.08999633789065,45516.375,7072.60498046875,24550.921875,3094.176025390625
